"","X786O","A498","A549","ACHN","BT549","CAKI1","CCRFCEM","COLO205","DU145","EKVX","HCC2998","HCT116","HCT15","HL60","HOP62","HOP92","HS578T","HT29","IGROV1","K562","KM12","LOXIMVI","M14","MALME3M","MCF7","MDAMB231","MDAMB435","MDAMB468","MOLT4","NCIADRES","NCIH226","NCIH23","NCIH322M","NCIH460","NCIH522","OVCAR3","OVCAR4","OVCAR5","OVCAR8","PC3","RPMI8226","RXF393","SF268","SF295","SF539","SKMEL2","SKMEL28","SKMEL5","SKOV3","SN12C","SNB19","SNB75","SR","SW620","T47D","TK10","U031","U251","UACC257","UACC62"
"FABP3",1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0.5,0,0,0,0,0,1,0,1,1,0,1,0.5,1,1,0,0,0,0,1,0,1,1
"CEACAM5",0,1,1,0,0,1,1,1,0,1,1,0,1,0.5,1,0,0.5,0.5,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1
"HOXC4",0,0,1,1,0,0,0,1,0,0,0.5,0,1,0,0.5,1,1,1,1,0,1,1,0.5,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0.5,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
"GSTT2B",0,1,0,1,0.5,1,0,1,0.5,1,0,1,1,0,1,1,0.5,0.5,0,1,1,0.5,1,1,0.5,1,1,0,0,0,0.5,1,0.5,0.5,1,1,1,1,0,0.5,0,0.5,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.5,0.5,0,1
"SLC2A3",1,1,0,1,0,1,1,1,0,1,1,0.5,1,0,0,0,0,1,1,1,1,0.5,1,1,0.5,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0.5,1,1,0,1,1,0,1,0.5,0,0,1,1,1,1,1,0,0,0,0
"B4GALT1",1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0.5,1,1,0,0,0,0,1,1,1,0,1,1,0.5,0.5,1,1,1,0,1,1,0,1,0,0
"CD46",1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0.5,1,1,0.5,0,0,1,0.5,0.5,0,1,0.5,0,1,1,1,1,0.5,0,0,1,0,0.5,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0
"COL5A3",1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0.5,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0
"EPHA3",1,1,0,0.5,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1
"DUT",0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0.5,1,1,0,1,1,1,0.5,1,0,0,1,1,1,0,1,1,1,0.5,1,0,1,1,0,0,0,1,0,0,1,0.5
"HSPA1L",0,1,0,1,0,0,0,1,0,0,0,1,1,1,0.5,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0.5,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0
"VAMP2",0.5,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0.5,1,0.5,0,1,0.5,1,1,0.5,1,0,1,1,1,1,0.5,1,1,1,0.5,1,0,0,0.5,1,1,1,0.5,0.5,0.5,1,1,0,0,0,0,1,1,1
"TRAF1",1,1,0,0.5,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0.5,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0.5,1,0.5,1,1,0,0.5,0.5,1,1,1,0,0,1,1,1,1,1
"MSLN",1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0.5,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
"IGFBP7",1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.5,0,1,1,0,0,0,1,0,0,0,0,0.5,1,1,0,0,0,1,1,0.5,1,1,1,0.5,1,0,1,1,1,0,1,1,1,1,1,1
"FAM188B",0,1,1,0,1,0,0,0,0.5,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1
"PLEKHO1",1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1
"MPP7",0,1,0.5,0,0,1,0,1,1,1,0.5,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0.5,0.5,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
"RNF111",0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0.5,1,0.5,1,1,1,1
"TBC1D9",1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0
